Quarter,Channel,Product_Line,Revenue,Product_Cost,Customer_Service_Cost,Profit
Q3,ATM,Credit Products,6044,3998,413,1633
Q1,ATM,Credit Products,4686,3229,643,815
Q4,ATM,Deposit Products,6063,7440,1842,-3219
Q1,ATM,Deposit Products,4682,6127,1118,-2563
Q4,ATM,Deposit Products,6320,7913,1854,-3447
Q3,BRH,Deposit Products,2993,1034,242,1718
Q4,BRH,Revolving Credit Products,3355,4355,1027,-2027
Q3,ATM,Revolving Credit Products,5716,5617,876,-777
Q4,BRH,Deposit Products,3347,4229,425,-1307
Q1,BRH,Credit Products,2624,1960,264,401
Q1,ATM,Credit Products,3629,4650,700,-1722
Q3,ATM,Revolving Credit Products,5612,6360,1482,-2230
Q3,ATM,Credit Products,4618,2445,417,1756
Q3,INT,Revolving Credit Products,2080,1340,140,600
Q2,BRH,Credit Products,2788,3432,564,-1208
Q2,BRH,Deposit Products,2829,1822,407,600
Q1,BRH,Revolving Credit Products,2898,3069,485,-656
Q2,ATM,Deposit Products,5232,6487,915,-2171
Q3,BRH,Revolving Credit Products,2949,3879,732,-1662
Q2,ATM,Deposit Products,5565,3941,421,1202
Q2,BRH,Deposit Products,2153,756,121,1277
Q2,BRH,Revolving Credit Products,3097,1572,197,1329
Q2,BRH,Revolving Credit Products,1920,2182,422,-684
Q4,BRH,Deposit Products,3347,1467,330,1549
Q4,BRH,Credit Products,4041,1621,196,2224
Q2,ATM,Credit Products,5931,3137,406,2388
Q2,INT,Credit Products,1605,1555,194,-143
Q1,BRH,Deposit Products,2026,1520,366,140
Q1,BRH,Credit Products,1687,1579,195,-87
Q1,ATM,Credit Products,5075,5700,883,-1508
Q1,ATM,Credit Products,4223,2800,504,918
Q2,BRH,Credit Products,2456,1547,303,605
Q3,BRH,Revolving Credit Products,1924,793,81,1049
Q3,INT,Revolving Credit Products,1578,1815,450,-687
Q3,BRH,Deposit Products,3235,3564,659,-988
Q2,ATM,Revolving Credit Products,5123,3241,689,1193
Q3,MAL,Credit Products,1560,1750,241,-431
Q4,MAL,Revolving Credit Products,1945,1138,198,609
Q4,ATM,Deposit Products,6060,6171,1075,-1186
Q2,EML,Revolving Credit Products,1222,1572,324,-673
Q3,INT,Credit Products,1660,1697,312,-349
Q4,BRH,Deposit Products,3000,2886,416,-302
Q2,BRH,Deposit Products,2970,3327,419,-776
Q3,INT,Credit Products,1631,1575,296,-239
Q4,CCT,Deposit Products,1215,475,49,691
Q1,CCT,Deposit Products,1759,884,211,663
Q1,ATM,Revolving Credit Products,3285,2980,544,-240
Q3,EML,Revolving Credit Products,2048,708,107,1232
Q3,INT,Revolving Credit Products,2173,1764,219,190
Q1,ATM,Revolving Credit Products,3353,3140,433,-220
Q2,INT,Revolving Credit Products,1162,1352,212,-403
Q1,ATM,Credit Products,1232,1274,143,-185
Q4,EML,Deposit Products,1561,1436,286,-162
Q3,CCT,Revolving Credit Products,1123,1206,125,-208
Q3,INT,Credit Products,1794,718,79,997
Q2,CCT,Revolving Credit Products,1202,827,131,244
Q4,EML,Deposit Products,1510,1773,319,-583
Q1,ATM,Revolving Credit Products,4472,4993,879,-1399
Q1,BRH,Credit Products,2370,1906,249,216
Q3,BRH,Revolving Credit Products,2581,2981,322,-722
Q1,BRH,Deposit Products,2761,2612,360,-211
Q4,ATM,Revolving Credit Products,6371,4998,593,780
Q4,EML,Revolving Credit Products,1972,2441,456,-925
Q4,EML,Credit Products,1562,826,142,594
Q1,BRH,Deposit Products,2742,2815,652,-724
Q3,ATM,Deposit Products,4598,3167,351,1080
Q2,ATM,Deposit Products,5322,6392,1248,-2318
Q3,BRH,Credit Products,3411,4358,597,-1544
Q1,MAL,Credit Products,1479,1579,244,-344
Q3,INT,Deposit Products,1569,1198,173,199
Q1,BRH,Revolving Credit Products,2852,2931,604,-683
Q3,MAL,Credit Products,1622,1089,259,274
Q2,ATM,Revolving Credit Products,3629,1705,317,1608
Q1,BRH,Revolving Credit Products,2505,2556,384,-435
Q3,CCT,Credit Products,1596,1232,235,130
Q1,INT,Deposit Products,1447,689,113,645
Q3,MAL,Revolving Credit Products,1690,1462,261,-34
Q4,BRH,Credit Products,2448,1815,384,249
Q2,CCT,Revolving Credit Products,1593,1888,299,-594
Q4,INT,Revolving Credit Products,1876,1478,237,161
Q4,ATM,Revolving Credit Products,6591,5858,1363,-630
Q2,MAL,Revolving Credit Products,1611,1092,168,351
Q2,ATM,Other Products,1254,545,122,587
Q3,INT,Deposit Products,1671,1008,246,418
Q2,MAL,Deposit Products,842,981,107,-246
Q4,MAL,Credit Products,1529,1477,246,-194
Q3,INT,Deposit Products,1439,997,211,231
Q2,INT,Credit Products,1959,2150,238,-429
Q1,ATM,Deposit Products,4382,2627,371,1384
Q2,ATM,Revolving Credit Products,1123,523,129,471
Q4,ATM,Credit Products,1407,1524,225,-342
Q2,INT,Revolving Credit Products,909,1147,269,-508
Q1,MAL,Revolving Credit Products,1549,2021,324,-796
Q4,BRH,Revolving Credit Products,2161,1531,347,283
Q1,CCT,Credit Products,1331,1654,336,-660
Q4,ATM,Third Party Products,727,638,81,8
Q3,INT,Deposit Products,1462,645,90,727
Q2,EML,Deposit Products,1067,1352,214,-499
Q2,EML,Credit Products,1876,678,75,1122
Q4,ATM,Deposit Products,833,357,71,405
Q2,BRH,Credit Products,1675,1192,142,341
Q4,ATM,Credit Products,1524,1728,237,-441
Q1,EML,Deposit Products,1285,939,144,202
Q4,TEL,Credit Products,752,853,194,-295
Q4,INT,Deposit Products,1406,688,161,557
Q2,INT,Credit Products,831,1043,228,-440
Q1,BRH,Deposit Products,2018,2598,483,-1063
Q3,MAL,Credit Products,1563,1844,317,-598
Q3,ATM,Fee Based Products,660,461,91,108
Q1,ATM,Credit Products,4821,1808,233,2780
Q3,BRH,Revolving Credit Products,3020,1260,297,1463
Q4,INT,Credit Products,1800,1811,452,-463
Q1,CCT,Credit Products,1572,1718,213,-360
Q4,CCT,Revolving Credit Products,1406,512,75,820
Q3,MAL,Deposit Products,1224,471,51,702
Q2,BRH,Deposit Products,2969,3592,382,-1005
Q2,MAL,Revolving Credit Products,1742,637,82,1023
Q1,MAL,Deposit Products,1143,1151,180,-188
Q3,EML,Credit Products,1694,1757,353,-416
Q1,INT,Credit Products,1690,1839,230,-379
Q2,INT,Deposit Products,1435,1010,159,267
Q2,CCT,Credit Products,1259,586,108,565
Q4,ATM,Credit Products,1567,854,87,626
Q4,BRH,Fee Based Products,621,461,47,114
Q1,ATM,Deposit Products,5212,6441,1185,-2414
Q4,BRH,Revolving Credit Products,3718,4070,655,-1006
Q3,INT,Credit Products,1293,1417,241,-364
Q3,MAL,Deposit Products,1303,1243,238,-179
Q4,INT,Deposit Products,1917,1959,313,-354
Q4,INT,Deposit Products,2262,799,132,1331
Q3,ATM,Credit Products,4553,4418,839,-704
Q4,ATM,Revolving Credit Products,1159,1439,352,-632
Q1,EML,Revolving Credit Products,1456,1017,165,274
Q1,BRH,Revolving Credit Products,2887,1470,290,1127
Q4,BRH,Revolving Credit Products,624,615,70,-61
Q1,CCT,Deposit Products,1414,594,78,741
Q1,ATM,Fee Based Products,663,615,123,-75
Q4,CCT,Revolving Credit Products,1413,1529,317,-433
Q1,BRH,Credit Products,2170,1549,230,391
Q3,CCT,Credit Products,1470,694,174,602
Q1,MAL,Revolving Credit Products,1340,1339,164,-163
Q3,MAL,Revolving Credit Products,860,681,80,99
Q3,INT,Revolving Credit Products,1907,715,130,1061
Q3,TEL,Revolving Credit Products,1060,943,172,-55
Q3,MAL,Revolving Credit Products,1955,2336,367,-748
Q3,MAL,Credit Products,1517,1880,402,-765
Q4,CCT,Credit Products,1647,2096,294,-743
Q1,MAL,Credit Products,1565,1986,239,-660
Q4,ATM,Other Products,1191,469,74,648
Q4,MAL,Deposit Products,1842,2269,248,-675
Q2,CCT,Deposit Products,1226,830,175,220
Q3,ATM,Third Party Products,585,685,138,-239
Q2,INT,Credit Products,1486,1581,184,-280
Q3,INT,Revolving Credit Products,475,366,87,22
Q2,EML,Revolving Credit Products,1590,1146,277,168
Q1,INT,Revolving Credit Products,1043,474,68,500
Q4,CCT,Credit Products,1810,2231,223,-644
Q2,INT,Deposit Products,1206,1330,205,-329
Q1,BRH,Deposit Products,2594,2980,709,-1096
Q3,CCT,Revolving Credit Products,1545,1869,249,-573
Q2,ATM,Fee Based Products,906,396,99,411
Q1,MAL,Revolving Credit Products,1131,886,168,76
Q1,MAL,Deposit Products,1410,492,111,806
Q1,EML,Revolving Credit Products,1468,1208,147,113
Q2,EML,Revolving Credit Products,1248,1132,185,-69
Q3,INT,Deposit Products,1566,2076,303,-813
Q2,ATM,Revolving Credit Products,938,862,104,-29
Q4,TEL,Deposit Products,742,973,240,-470
Q3,ATM,Deposit Products,4216,4896,1058,-1738
Q2,BRH,Other Products,647,397,79,171
Q2,CCT,Deposit Products,946,837,107,2
Q1,BRH,Credit Products,598,712,95,-209
Q4,EML,Revolving Credit Products,481,318,42,121
Q3,TEL,Credit Products,841,324,53,464
Q1,TEL,Deposit Products,606,336,67,203
Q1,INT,Credit Products,1325,1334,159,-168
Q2,BRH,Credit Products,698,589,112,-3
Q4,CCT,Credit Products,2386,3059,337,-1010
Q3,BRH,Revolving Credit Products,615,252,41,322
Q4,ATM,Third Party Products,675,502,55,118
Q1,TEL,Revolving Credit Products,536,464,48,25
Q3,INT,Revolving Credit Products,1818,1373,315,129
Q4,CCT,Deposit Products,1071,451,93,527
Q3,INT,Credit Products,516,479,72,-35
Q2,ATM,Deposit Products,536,470,93,-27
Q4,ATM,Other Products,1665,718,175,772
Q4,ATM,Other Products,936,356,58,523
Q1,EML,Credit Products,1269,779,103,386
Q4,MAL,Credit Products,1140,851,160,129
Q1,EML,Credit Products,890,686,75,129
Q2,ATM,Fee Based Products,739,515,124,100
Q4,BRH,Revolving Credit Products,608,259,52,297
Q2,EML,Deposit Products,1290,1383,281,-375
Q1,ATM,Fee Based Products,748,941,121,-314
Q1,TEL,Credit Products,664,227,47,391
Q4,EML,Credit Products,406,162,40,203
Q3,MAL,Credit Products,1797,1420,347,30
Q2,EML,Other Products,491,378,54,58
Q2,ATM,Credit Products,1225,521,128,575
Q2,MAL,Deposit Products,1355,1217,270,-133
Q3,ATM,Fee Based Products,640,460,73,107
Q4,BRH,Deposit Products,3644,3843,797,-996
Q4,ATM,Fee Based Products,956,1123,230,-397
Q1,MAL,Revolving Credit Products,317,234,55,28
Q4,CCT,Credit Products,2018,1624,354,40
Q2,ATM,Fee Based Products,735,260,31,444
Q2,ATM,Revolving Credit Products,5247,3714,495,1037
Q2,TEL,Deposit Products,760,328,57,376
Q1,CCT,Credit Products,1407,946,108,354
Q1,ATM,Third Party Products,458,474,71,-87
Q2,MAL,Credit Products,469,616,88,-236
Q2,INT,Other Products,369,388,73,-92
Q3,BRH,Deposit Products,367,216,51,100
Q3,ATM,Deposit Products,549,266,57,226
Q2,EML,Credit Products,390,132,20,238
Q3,MAL,Other Products,560,315,35,211
Q4,ATM,Revolving Credit Products,1596,683,162,750
Q4,EML,Revolving Credit Products,822,605,73,144
Q4,ATM,Deposit Products,634,547,132,-46
Q4,CCT,Deposit Products,1591,1509,266,-183
Q4,ATM,Credit Products,1428,1767,362,-700
Q3,EML,Deposit Products,1392,1637,275,-520
Q3,EML,Revolving Credit Products,1645,2002,412,-768
Q3,EML,Deposit Products,1414,1234,141,39
Q2,BRH,Credit Products,2612,1662,274,675
Q4,MAL,Deposit Products,1486,983,201,302
Q1,ATM,Revolving Credit Products,1338,605,141,592
Q1,EML,Deposit Products,1530,1469,175,-114
Q4,BRH,Other Products,794,1002,222,-430
Q1,TEL,Credit Products,732,855,178,-301
Q4,MAL,Revolving Credit Products,358,462,57,-160
Q4,EML,Credit Products,482,351,81,50
Q4,BRH,Credit Products,3156,2178,249,728
